type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id
tiltLeftBack,-0.0263671875,-0.076171875,0.1796875,-7.53021240234375,0.35858154296875,-17.7145004272461,-10.3607177734375,-2.05230712890625,-6.78634643554688,CBA30F8E-8F7D-45E0-998C-CFCB2C5153BD
tiltLeft,-0.009765625,-0.0078125,-0.0224609375,-1.27124786376953,-0.123977661132812,-9.06658172607422,-9.18960571289062,-19.4177627563477,1.70326232910156,CB3F73AD-85E9-4740-840A-82CFE006A7DD
tiltLeftBack,-0.0341796875,-0.07666015625,0.15087890625,-7.03620910644531,0.181198120117188,-17.5399780273438,13.1282806396484,8.59642028808594,3.10134887695312,59762B38-B394-412F-9BBC-29241A1277D8
tiltLeft,-0.0068359375,-0.009765625,0.0390625,-1.07192993164062,-0.520706176757812,-9.21440124511719,-10.1699829101562,-5.80978393554688,-0.766754150390625,7CEE2294-BC94-4D6B-B9E4-B6BB171FA095
tiltLeftBack,-0.02734375,-0.0556640625,0.1044921875,-5.0349235534668,0.458240509033203,-15.6431198120117,23.6358642578125,24.0116119384766,3.61442565917969,27B70C90-DFB0-40DB-98FB-748DBE2A8DCE
tiltLeft,0.01171875,-0.00390625,0.00390625,-1.24549865722656,-0.591278076171875,-10.3778839111328,-11.4765167236328,-5.07926940917969,-1.91116333007812,FDEE4B16-FD76-45AB-B8B2-120C9F9BB100
tiltLeftBack,-0.02197265625,-0.0771484375,0.1044921875,-6.99234008789062,0.0152587890625,-17.120361328125,-3.77655029296875,-1.39808654785156,-1.05857849121094,B17E2A08-4043-4E7B-BCD7-0615EC05B611
tiltLeft,-0.021484375,-0.005859375,0.06787109375,-1.50108337402344,-0.423431396484375,-11.0664367675781,0.669479370117188,3.25584411621094,-3.55339050292969,8CB8B44C-40DA-4906-9B2B-5B228F812C44
tiltLeftBack,-0.037109375,-0.05859375,0.1552734375,-5.93757629394531,0.116348266601562,-16.4527893066406,-4.17900085449219,-3.98635864257812,-0.341415405273438,1E4FE2F5-C59C-4868-860D-0C05A12A2216
tiltLeft,-0.0146484375,-0.0078125,0.07421875,-1.38282775878906,-0.347137451171875,-10.5037689208984,-24.0287780761719,-8.98647308349609,-7.7972412109375,80540BCD-030C-4823-A696-C1FE59F54C5B
tiltLeftBack,-0.02685546875,-0.05908203125,0.0927734375,-6.23512268066406,-0.0324249267578125,-16.5786743164062,31.3301086425781,14.4119262695312,7.1258544921875,8B57E2A5-7A33-4E87-8289-7D776E4825CA
tiltLeft,-0.01416015625,-0.0087890625,0.0390625,-1.17301940917969,-0.349044799804688,-9.37652587890625,-34.7118377685547,-11.1484527587891,-9.74273681640625,75217039-3A28-4842-9DA9-4478797B03A5
tiltLeftBack,-0.0224609375,-0.080078125,0.15625,-6.58226013183594,0.0820159912109375,-17.003059387207,26.0639190673828,17.4522399902344,3.936767578125,20D2232D-E155-4FCC-85AD-7A1B994A1414
tiltLeft,0.001953125,-0.01123046875,0.05322265625,-2.01797485351562,-1.09386444091797,-13.0510330200195,-25.6175994873047,-4.02450561523438,-5.17845153808594,4846EF62-DA7F-4107-B234-971F8233177C
tiltLeftBack,-0.0107421875,-0.0185546875,0.11279296875,-3.46946716308594,-1.03473663330078,-15.9435272216797,-1.07192993164062,1.800537109375,-0.682830810546875,203F9DAC-C09C-4220-88E7-117FAF8ED20A
tiltLeft,0.0,-0.0087890625,0.00390625,-1.14250183105469,-0.760078430175781,-10.340690612793,-0.81634521484375,1.51824951171875,-0.3662109375,1276F811-943B-4298-90F0-6EF0F829B366
