type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id 
tiltRight, 0.0, 0.0, -0.0, 0.18310546875, -0.335693359375,0.1220703125,0.23651123046875,5.97381591796875,-0.55694580078125,73D5CE94-6997-4576-8334-53CA38BA1FA3 
tiltRight, 0.0, 0.015625, -0.0, 0.18310546875, -0.335693359375,0.1220703125,0.1678466796875,3.47900390625,2.1209716796875,73D5CE94-6997-4576-8334-53CA38BA1FA3 
tiltRight, 0.0, 0.0, -0.0, 0.091552734375, 0.0,0.06103515625,0.26702880859375,2.98309326171875,1.2664794921875,73D5CE94-6997-4576-8334-53CA38BA1FA3 
tiltRight, 0.0, 0.0, -0.0, 0.091552734375, 0.0,0.06103515625,-0.03814697265625,2.86865234375,0.213623046875,73D5CE94-6997-4576-8334-53CA38BA1FA3 
tiltRightBack, 0.0, 0.015625, -0.0, 0.1220703125, -0.1220703125,-0.18310546875,0.61798095703125,2.62451171875,0.61798095703125,F55210B3-50DC-4509-B8E2-074BAA77D1F5 
tiltRightBack, -0.015625, 0.0, -0.015625, 0.030517578125, -0.06103515625,-0.030517578125,0.1373291015625,2.593994140625,-0.6103515625,F55210B3-50DC-4509-B8E2-074BAA77D1F5 
tiltRightBack, -0.015625, 0.0, -0.0, -0.030517578125, 0.0,-0.213623046875,0.54931640625,1.861572265625,0.7781982421875,F55210B3-50DC-4509-B8E2-074BAA77D1F5 
tiltRightBack, 0.0, 0.015625, -0.0, -0.030517578125, 0.0,-0.213623046875,0.5950927734375,2.37274169921875,0.030517578125,F55210B3-50DC-4509-B8E2-074BAA77D1F5 
tiltRight, 0.0, 0.0, -0.0, 0.091552734375, -0.1220703125,0.18310546875,0.3509521484375,2.0599365234375,1.54876708984375,033CB882-4E86-4987-AEE1-0F5877E9C0FE 
tiltRight, 0.0, 0.0, -0.015625, 0.030517578125, -0.030517578125,0.030517578125,-0.28228759765625,1.8463134765625,1.16729736328125,033CB882-4E86-4987-AEE1-0F5877E9C0FE 
tiltRight, -0.015625, 0.0, -0.015625, 0.1220703125, -0.213623046875,0.030517578125,-0.28228759765625,1.8463134765625,1.16729736328125,033CB882-4E86-4987-AEE1-0F5877E9C0FE 
tiltRight, 0.0, 0.0, -0.0, 0.1220703125, -0.213623046875,0.030517578125,0.98419189453125,1.47247314453125,0.2288818359375,033CB882-4E86-4987-AEE1-0F5877E9C0FE 
